Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,tsunami,mag,Vol,More Info,Deposits,Country,Location Name,latitude,longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
,2007,11,29,19,0,20.4,1,1,7.4,,,0,MARTINIQUE (FRENCH TERRITORY),MARTINIQUE,14.944,-61.274,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,12,9,7,28,20.8,4,1,7.8,,,0,KERMADEC ISLANDS,KERMADEC ISLANDS,-25.996,-177.514,0.03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2,25,8,36,33.0,4,1,6.5,,,0,INDONESIA,SUMATRA,-2.486,99.972,0.12,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0
,2008,4,9,12,46,12.7,4,1,7.3,,,0,NEW CALEDONIA,LOYALTY ISLANDS,-20.071,168.892,0.16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,4,28,18,33,34.2,1,1,6.4,,,0,VANUATU,VANUATU ISLANDS,-19.941,168.953,0.03,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,5,12,6,28,0.5,0,1,7.9,,,0,CHINA,SICHUAN PROVINCE,30.98,103.396,,1,,,,,,,,,,,,,,,,87652.0,4.0,,,374171.0,4.0,86000.0,4.0,5360000.0,4.0,,
,2008,7,19,2,39,28.7,4,1,6.9,,,0,JAPAN,OFF EAST COAST OF HONSHU ISLAND,37.552,142.214,0.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,9,11,0,20,50.9,4,1,6.8,,,0,JAPAN,HOKKAIDO ISLAND,41.892,143.754,0.09,1,,,,,,,,,,,,,,,,6.0,1.0,,,77.0,2.0,,3.0,,,1000.0,3.0
,2008,11,16,17,2,32.7,4,1,7.3,,,0,INDONESIA,SULAWESI,1.271,122.091,0.13,3,,,,,,,,,,,,,,,,6.0,1.0,,,77.0,2.0,,3.0,,,1000.0,3.0
,2009,1,3,19,43,50.6,4,1,7.6,,,0,INDONESIA,NEAR NORTH COAST,-0.414,132.885,0.39,24,,,,,,,,,,,,,,,,5.0,1.0,,,250.0,3.0,,3.0,,,840.0,3.0
