magnitude,depth,max_amplitude_bhz,tsunami,is_ocean,is_steep_slope
4.4,41.668,260598,0.0,0,1
3.2,29.373,22466,0.0,1,1
5.0,26.936,1241441,0.0,1,1
3.5,70.88,96589,0.0,1,1
4.3,130.233,15086,0.0,0,1
3.2,35.0,5053289,0.0,1,1
4.4,17.492,3501491,0.0,0,1
4.3,10.0,10537,0.0,1,0
3.5,8.17,18974174,0.0,0,0
4.8,73.607,132914,0.0,0,1
3.0,10.0,12769,0.0,0,0
4.3,46.224,5817205,0.0,1,1
3.0,9.233,23766,0.0,1,1
3.7,12.578,10000,0.0,1,0
4.5,10.0,31887,0.0,1,0
4.2,30.316,711038,0.0,0,0
5.5,119.968,732295,0.0,0,1
4.8,56.648,597095,0.0,1,0
4.5,10.0,15497,0.0,1,0
3.1,6.7279,15062,0.0,0,0
3.2,125.4,32883,0.0,0,0
3.6,34.0,57778,0.0,0,1
3.0,1.1,3350,0.0,0,0
4.7,10.0,927439,0.0,0,0
4.5,48.651,44109,0.0,1,1
4.6,86.263,7840536,0.0,0,0
4.7,86.439,6674,0.0,1,0
3.1,25.8,15144,0.0,1,1
4.3,10.0,237585,0.0,0,1
3.2,112.746,31223,0.0,1,1
3.0,35.0,14979,0.0,1,1
3.54,11.0,265084,0.0,1,1
4.5,51.878,36397,0.0,0,0
4.2,115.539,7789836,0.0,0,1
4.2,160.249,22577,0.0,1,1
4.4,156.088,6614,0.0,0,0
3.5,61.7,293982,0.0,0,0
4.9,10.0,332408,0.0,0,0
4.4,11.74,76557,0.0,0,0
4.8,41.713,100193,0.0,1,1
4.2,4.237,134211,0.0,0,1
4.0,23.244,431547,0.0,1,1
3.33,14.35,63963,0.0,1,1
3.0,10.0,14969,0.0,0,0
4.5,35.0,14,0.0,1,0
4.2,166.923,37906,0.0,0,0
3.1,10.0,23108,0.0,1,1
4.3,54.695,1008364,0.0,1,1
4.0,112.327,20113,0.0,0,1
4.4,208.861,4625,0.0,0,0
4.6,51.437,29201,0.0,1,1
3.4,24.8,25198,0.0,1,1
4.8,409.983,89229,0.0,1,0
4.2,398.743,102850,0.0,1,0
4.4,104.332,7796897,0.0,0,1
3.4,22.0,517889,0.0,1,1
3.1,22.0,5052665,0.0,1,1
3.0,41.3,31300,0.0,1,1
4.7,10.0,46396,0.0,1,1
4.1,227.5,2884210,0.0,0,0
3.0,69.3,43053,0.0,1,0
4.2,45.963,2830,0.0,1,0
5.0,184.618,1943588,0.0,0,0
4.7,10.0,27651119,0.0,1,1
4.2,41.476,58177,0.0,1,1
5.54,12.164,430056,0.0,0,0
4.2,112.36,18417,0.0,1,1
4.07,5.96,16870,0.0,1,0
4.9,41.8,570964,0.0,1,0
4.3,10.0,2145921,0.0,1,0
3.2,205.2,10013,0.0,0,0
3.5,93.0,51008,0.0,1,1
4.6,10.0,299149,0.0,1,1
4.5,10.0,280575,0.0,0,1
3.4,17.8,1433049,0.0,0,0
4.1,68.948,20176,0.0,0,0
3.3,60.404,30646,0.0,1,1
4.8,110.096,488703,0.0,0,0
4.4,42.04,458063,0.0,1,1
4.9,7.575,9965214,0.0,1,1
4.6,24.523,7842353,0.0,1,1
3.0,116.325,119170,0.0,0,0
3.5,10.0,45517,0.0,1,0
3.2,0.5,120416,0.0,0,0
3.4,97.182,5050136,0.0,1,0
4.6,10.0,225626,0.0,1,0
3.1,7.9456,11537,0.0,0,0
4.5,49.262,39621,0.0,0,0
4.6,24.429,1079760,0.0,0,0
3.17,7.39,37590,0.0,1,1
3.34,11.03,55750,0.0,1,1
3.07,38.43,48618,0.0,1,1
4.3,233.33,2582,0.0,0,0
3.9,49.0,285885,0.0,1,1
5.4,10.0,7495835,0.0,0,0
4.4,27.797,10336,0.0,1,1
4.5,196.547,11907,0.0,0,0
4.4,10.0,36820,0.0,1,0
4.3,29.478,16811,0.0,1,0
3.46,35.0,728378,0.0,1,1
3.5,2.869,6488,0.0,0,0
4.4,157.159,14442,0.0,0,1
5.3,80.506,8998512,0.0,1,0
5.0,55.066,1959661,0.0,0,1
4.3,30.882,95058,0.0,1,0
4.5,57.365,104454,0.0,0,1
3.8,10.0,25076,0.0,1,0
4.0,44.219,302995,0.0,1,1
3.6,13.008,42810,0.0,1,0
3.26,9.66,77944,0.0,1,1
4.3,83.089,31195,0.0,1,1
3.73,41.0,72531,0.0,1,1
3.2,35.0,30181,0.0,1,0
4.8,10.0,305882,0.0,1,0
3.0,35.0,12678,0.0,1,1
4.9,10.0,1946915,0.0,1,1
4.5,64.304,11825,0.0,1,0
3.42,74.37,42795,0.0,1,0
4.2,82.491,94735,0.0,0,1
5.0,10.0,4855622,0.0,0,1
4.0,505.56,27562860,0.0,0,0
4.4,66.3,693134,0.0,0,0
4.4,206.977,8014,0.0,0,0
3.02,15.15,72614,0.0,1,1
4.4,150.208,211440,0.0,1,1
4.7,10.0,35747,0.0,1,1
3.1,10.73,6082,0.0,0,0
3.2,6.3232,3750,0.0,0,0
4.3,10.0,25659,0.0,1,0
3.5,56.791,33771,0.0,1,0
4.5,155.935,6669,0.0,0,1
3.2,51.614,5059198,0.0,1,1
4.2,10.0,14981,0.0,1,1
4.4,85.212,8150617,0.0,0,0
3.0,6.51,20744,0.0,0,0
3.2,127.944,5025,0.0,1,1
4.0,4.944,22845,0.0,0,0
4.6,160.133,160555,0.0,0,0
3.19,5.95,82369,0.0,1,1
5.3,114.676,48913,0.0,1,0
4.2,217.555,2826,0.0,0,0
4.4,10.0,134063504,0.0,0,0
3.37,78.91,118517,0.0,1,1
4.2,74.173,3583759,0.0,1,0
3.7,11.8,5505065,0.0,0,0
4.1,34.551,573700,0.0,1,1
3.45,9.0,105306,0.0,1,1
4.5,53.05,41689,0.0,0,0
3.3,10.78,28094,0.0,1,1
3.0,22.3,7264,0.0,1,0
4.0,379.006,5817205,0.0,1,1
3.04,9.71,16141,0.0,1,1
3.2,68.6,30979,0.0,0,0
4.7,64.368,1107948,0.0,0,1
3.2,9.3,32324,0.0,0,0
4.1,35.0,7571,0.0,1,1
3.16,7.4,18976976,0.0,0,0
3.0,35.0,4253,0.0,1,1
3.3,18.63,40820,0.0,0,0
4.5,92.552,63981,0.0,1,0
3.3,7.2791,113807,0.0,0,0
4.2,47.585,32527,0.0,1,0
4.3,353.856,211890,0.0,1,0
4.0,3.6865,9331,0.0,0,0
3.0,9.362,23577,0.0,1,0
4.2,151.65,1759034,0.0,1,1
4.7,38.682,72409,0.0,1,0
5.2,165.742,211367,0.0,0,0
4.6,162.0,70988,0.0,0,0
4.5,10.0,7603,0.0,1,0
3.1,81.7,14374,0.0,0,0
4.1,322.817,5817205,0.0,1,0
3.1,1.2,2716128,0.0,0,0
3.4,87.409,40147,0.0,0,1
4.5,4.88,794351,0.0,0,1
3.2,30.26,34894,0.0,0,1
3.22,11.84,1432268,0.0,1,1
3.0,35.0,23130,0.0,1,0
4.4,63.817,35379,0.0,1,1
3.2,10.0,1433991,0.0,0,0
5.4,290.557,281826,0.0,1,0
3.48,8.81,18978198,0.0,0,0
4.6,10.0,6979,0.0,1,0
