magnitude,depth,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full,tsunami
7.3,170.0,0,0,0,0,0
7.6,35.0,0,0,0,2,0
7.6,28.0,1,1,0,0,0
7.3,28.0,1,1,0,1,0
6.6,91.1,1,0,1,0,0
7.7,583.2,1,0,0,1,0
6.5,41.0,1,0,0,3,0
6.6,134.7,1,0,0,1,0
6.7,16.0,1,0,2,0,0
6.8,198.0,1,0,1,2,0
6.7,29.0,0,1,0,2,0
7.0,13.0,1,0,2,0,0
6.5,20.0,0,1,0,1,0
8.2,25.1,1,0,3,0,0
8.6,20.0,1,0,3,0,0
7.1,40.7,0,0,0,3,0
6.6,118.0,0,0,2,0,0
7.4,20.0,0,0,0,1,0
6.7,12.0,0,0,1,1,0
6.7,11.0,0,0,1,2,0
7.1,23.0,1,0,1,7,0
7.2,19.0,1,0,1,0,0
6.6,15.0,0,0,1,0,0
7.1,135.0,0,1,1,1,0
6.5,59.0,0,0,0,1,0
6.9,24.0,0,0,0,1,0
7.1,18.0,0,0,0,1,0
6.5,37.0,1,1,0,2,0
6.9,50.0,0,1,1,0,0
6.7,30.0,1,0,0,11,0
6.7,91.0,0,0,0,3,0
7.0,185.1,1,0,3,3,0
7.0,147.0,0,0,0,1,0
7.1,28.0,1,1,1,10,0
6.5,35.0,1,1,1,10,0
7.2,32.0,1,1,1,10,0
6.6,10.0,1,0,0,0,0
7.6,17.0,1,1,0,3,0
6.7,33.0,1,0,0,17,0
6.8,11.0,1,0,2,6,0
6.8,79.0,1,1,1,3,0
6.6,11.0,0,0,3,10,0
7.1,42.0,0,0,3,17,0
6.6,166.2,0,0,1,0,0
6.9,8.0,0,0,1,0,0
6.6,25.7,1,0,2,16,0
6.5,6.8,1,1,3,7,0
7.7,18.6,1,0,1,8,0
7.9,42.6,1,0,2,7,0
9.1,29.0,1,0,3,18,0
7.3,32.0,1,0,3,19,0
6.7,21.0,1,1,0,17,0
6.9,26.0,1,0,1,16,0
7.2,68.0,0,0,0,1,0
7.0,9.0,1,1,2,5,0
7.2,24.0,0,0,1,8,0
7.3,16.0,1,0,1,2,0
6.7,12.0,0,0,1,0,0
6.6,33.0,0,1,0,8,0
7.8,20.1,1,1,1,4,0
6.7,13.0,1,1,1,0,0
7.0,26.0,1,0,0,2,0
7.0,12.0,0,0,1,0,0
7.1,206.7,0,0,0,1,0
7.3,25.0,1,1,1,1,0
7.0,44.0,0,1,0,5,0
6.5,220.0,1,1,1,2,0
7.6,578.0,1,1,5,2,0
7.3,35.0,0,1,0,4,0
6.9,28.0,0,1,0,4,0
6.6,22.0,0,0,1,7,0
6.7,35.0,1,1,0,2,0
6.6,10.5,0,0,3,0,0
7.0,18.0,1,0,3,0,0
7.5,35.0,1,1,2,0,0
7.2,31.0,1,1,0,11,0
7.2,38.0,1,0,0,3,0
6.9,17.0,0,0,2,0,0
6.9,21.0,1,1,0,1,0
7.8,31.0,1,0,0,2,0
7.2,9.987,0,0,1,0,0
6.6,34.0,1,0,1,1,0
6.7,18.0,1,1,0,8,0
6.5,32.0,1,0,0,1,0
7.0,18.0,0,0,0,6,0
6.9,11.0,0,0,0,6,0
6.8,26.0,1,0,1,2,0
6.6,18.0,1,1,0,0,0
6.5,176.0,1,0,0,9,0
7.4,35.0,1,0,0,1,0
8.8,22.9,1,0,0,2,0
7.0,25.0,1,1,1,0,0
7.0,13.0,0,1,1,1,0
6.5,28.737,1,0,1,0,0
6.8,15.4,1,1,1,4,0
7.1,10.0,1,1,1,4,0
6.6,10.0,0,1,1,4,0
6.5,27.0,1,0,0,2,0
7.3,595.0,1,0,1,0,0
6.6,18.0,1,1,0,1,0
6.8,34.0,1,0,0,1,0
6.9,130.0,1,1,2,0,0
6.8,35.0,1,1,0,10,0
7.4,31.1,1,1,0,10,0
7.8,35.0,1,1,0,11,0
7.7,45.0,1,1,0,10,0
6.6,9.0,0,0,1,1,0
7.6,81.0,1,0,0,1,0
8.1,18.0,1,1,0,2,0
7.0,46.0,1,1,0,1,0
6.7,20.0,1,0,0,1,0
6.6,53.0,1,0,0,1,0
7.5,24.0,1,0,0,1,0
7.1,292.0,1,0,1,1,0
6.9,10.0,1,0,2,0,0
7.8,12.0,0,1,1,0,0
6.7,64.0,1,0,0,1,0
7.3,19.0,1,1,1,0,0
7.6,31.0,1,1,0,2,0
7.2,20.0,1,1,1,5,0
