tsunami,magnitude,depth,latitude,longitude,Year,Month
1,6.5,402.166,47.1777,144.763,2024,8
0,5.3,18.196,31.8881,131.341,2024,8
0,7.1,24.0,31.7491,131.482,2024,8
0,5.6,91.0,33.536,140.175,2024,7
0,5.4,34.723,33.4887,141.284,2024,6
0,5.7,9.0,37.4574,137.239,2024,6
0,5.5,392.698,32.2768,137.61,2024,5
0,5.4,59.788,26.1835,141.391,2024,5
0,5.8,11.296,24.191,121.899,2024,5
0,5.3,10.0,28.7699,142.53,2024,4
0,6.3,32.0,33.1621,132.387,2024,4
0,5.9,7.556,29.4708,131.736,2024,4
0,5.4,26.386,40.9054,143.213,2024,4
0,6.1,29.0,37.7196,141.924,2024,4
0,5.7,41.798,24.1954,121.932,2024,4
0,5.9,73.0,40.1385,141.706,2024,4
0,5.3,35.0,24.3178,142.875,2024,3
0,5.6,20.0,28.4231,130.134,2024,3
0,5.6,44.0,37.1035,141.143,2024,3
0,5.4,45.09,29.1913,141.553,2024,1
0,5.9,10.0,37.8706,137.708,2024,1
0,5.4,6.0,37.2326,136.788,2024,1
0,5.6,10.0,37.5249,137.408,2024,1
0,5.5,10.0,37.5575,137.384,2024,1
0,5.6,10.0,37.2969,136.946,2024,1
0,6.2,10.0,37.1959,136.87,2024,1
1,7.5,10.0,37.4976,137.242,2024,1
0,5.8,10.0,37.5067,137.239,2024,1
0,6.5,31.0,44.5796,148.99,2023,12
0,5.8,42.0,41.168,142.247,2023,11
0,5.8,84.0,45.9031,151.003,2023,11
0,5.6,77.731,44.9541,149.755,2023,11
0,5.9,31.0,24.0602,122.646,2023,10
0,5.7,13.261,25.1583,125.542,2023,10
0,5.3,10.0,29.7869,140.026,2023,10
0,5.4,10.0,29.758,140.021,2023,10
0,5.5,10.0,30.1289,140.022,2023,10
0,6.1,10.0,30.044,140.005,2023,10
0,5.7,10.0,30.0809,139.98,2023,10
0,5.7,10.0,30.0036,139.831,2023,10
0,5.3,10.0,29.9804,139.887,2023,10
0,5.4,10.0,29.99,139.968,2023,10
0,6.1,10.0,29.959,139.948,2023,10
0,5.3,10.0,29.8673,140.048,2023,10
0,5.5,8.0,30.786,142.041,2023,10
0,5.6,10.0,31.0695,141.884,2023,10
0,5.6,10.0,29.9958,140.146,2023,10
0,5.5,10.0,30.0215,140.109,2023,10
0,5.8,6.0,29.9105,140.053,2023,10
0,6.0,10.0,29.905,139.967,2023,10
0,5.8,30.0,44.2539,148.635,2023,9
0,5.7,12.765,30.9578,141.833,2023,9
0,5.8,8.0,31.0125,141.989,2023,9
0,5.5,51.0,38.5129,141.641,2023,9
0,6.3,176.0,26.4336,125.303,2023,9
0,5.2,40.452,38.9566,142.101,2023,9
0,5.9,34.0,41.1222,142.845,2023,8
0,5.5,12.851,30.7637,131.39,2023,8
0,5.4,10.0,24.0074,143.203,2023,7
0,5.8,442.0,42.0873,134.055,2023,6
0,5.6,314.0,45.8086,143.124,2023,6
1,4.7,10.0,51.3957,-130.863,2024,9
1,6.5,10.0,51.6758,-130.632,2024,9
1,4.69,11.35,34.0703,-118.808,2024,9
1,3.94,4.84,34.0297,-117.586,2024,9
1,4.28,0.16,38.7765,-122.746,2024,9
1,4.39,10.98,34.0843,-118.185,2024,8
1,5.22,11.6,35.1108,-119.092,2024,8
1,4.4,10.0,50.622,-129.763,2024,7
1,5.2,10.0,48.9111,-128.445,2024,7
1,6.4,10.0,48.8127,-128.725,2024,7
1,5.7,10.0,48.6926,-129.003,2024,7
0,5.5,10.649,1.3376,118.461,2024,9
0,5.4,72.165,4.3537,126.74,2024,9
0,5.5,47.174,-8.7179,110.181,2024,8
0,5.7,40.983,12.7442,124.767,2024,8
0,6.3,15.0,8.1704,126.764,2024,8
1,6.8,32.0,8.1856,126.612,2024,8
0,5.4,40.646,1.246,126.089,2024,7
1,7.1,639.503,6.0646,123.16,2024,7
0,5.4,9.0,-5.3869,101.059,2024,7
0,5.6,45.789,3.1375,127.319,2024,6
0,5.8,39.0,4.3844,126.49,2024,6
0,5.2,9.9,9.4367,119.732,2024,6
0,5.5,19.0,-3.6267,100.699,2024,6
0,5.7,10.208,10.8748,125.29,2024,5
0,6.1,59.701,-8.1104,107.272,2024,4
1,6.4,22.0,2.7135,127.094,2024,4
0,5.7,62.174,-9.444,122.147,2024,3
0,6.4,9.471,-5.8668,112.362,2024,3
0,5.6,10.0,-5.8086,112.311,2024,3
0,5.7,39.0,-0.1127,125.214,2024,3
0,6.0,115.0,5.8202,126.88,2024,3
0,5.2,10.0,-5.8146,102.185,2024,3
0,5.4,42.374,8.8205,126.704,2024,3
0,5.4,18.0,8.8517,126.782,2024,2
0,5.1,14.569,8.7891,126.765,2024,2
0,5.6,34.0,-7.362,105.925,2024,2
0,5.3,35.0,9.7634,126.712,2024,2
0,5.4,50.159,8.7286,125.71,2024,2
0,5.8,32.0,8.6991,125.544,2024,2
0,5.6,21.643,-8.2505,121.098,2024,1
0,5.6,39.0,8.5458,126.497,2024,1
1,6.7,62.574,4.8602,126.189,2024,1
0,5.3,81.212,-0.1653,123.611,2024,1
0,5.4,16.406,9.0123,126.773,2023,12
0,5.8,12.0,9.1263,126.869,2023,12
0,5.5,26.021,9.1263,126.709,2023,12
0,5.7,19.697,9.0546,126.666,2023,12
0,5.2,40.403,8.9514,126.622,2023,12
0,5.3,66.931,8.3449,126.792,2023,12
0,5.7,27.0,8.8312,126.691,2023,12
0,5.3,55.451,8.8795,126.674,2023,12
0,5.3,46.818,8.8411,126.749,2023,12
0,5.5,66.391,8.441,126.873,2023,12
0,5.4,24.222,8.7118,126.798,2023,12
0,5.3,47.433,8.9293,126.563,2023,12
1,6.9,20.0,8.9571,126.628,2023,12
0,6.0,13.0,8.7176,126.897,2023,12
0,5.4,28.046,8.65,127.021,2023,12
0,5.4,42.849,8.815,126.868,2023,12
0,5.6,36.128,8.545,126.871,2023,12
0,5.5,39.402,8.2878,127.04,2023,12
0,5.7,45.264,8.5597,126.617,2023,12
1,6.6,19.0,8.4498,126.72,2023,12
0,5.4,63.392,8.6521,126.674,2023,12
0,5.5,26.181,8.353,126.93,2023,12
0,6.0,9.0,8.4475,126.778,2023,12
0,5.4,63.645,8.248,126.82,2023,12
0,5.3,22.227,8.4219,126.838,2023,12
0,5.4,48.935,8.6178,126.709,2023,12
0,6.3,46.378,8.4439,126.919,2023,12
0,5.6,64.275,8.7034,126.768,2023,12
0,5.4,51.478,8.3044,126.566,2023,12
0,5.4,35.0,8.2748,126.828,2023,12
0,5.6,79.813,8.4261,126.521,2023,12
0,6.1,36.091,8.4118,126.746,2023,12
0,5.7,46.557,8.4001,126.922,2023,12
0,5.4,58.952,8.6083,126.699,2023,12
0,5.7,52.821,8.3159,126.767,2023,12
0,5.6,44.034,8.4845,126.736,2023,12
1,6.4,35.0,8.415,126.776,2023,12
0,5.5,66.805,8.493,126.771,2023,12
0,5.4,60.468,8.3678,126.734,2023,12
0,5.4,61.311,8.3335,126.583,2023,12
0,5.8,61.655,8.315,127.021,2023,12
0,5.4,43.301,8.0495,126.606,2023,12
0,5.4,66.534,8.5324,126.505,2023,12
1,7.6,40.0,8.5266,126.449,2023,12
0,6.0,102.0,1.7425,127.153,2023,11
1,6.7,52.0,5.5872,125.051,2023,11
0,5.8,289.0,1.9752,124.137,2023,11
0,5.2,42.657,-9.9023,123.7,2023,11
0,5.7,13.0,11.4641,125.922,2023,11
0,6.1,51.0,-10.0109,123.713,2023,11
0,5.4,24.286,1.7869,120.193,2023,10
0,5.5,10.0,-7.6308,125.855,2023,10
0,5.9,8.494,7.4373,126.299,2023,10
0,6.4,113.0,5.3416,126.06,2023,10
0,5.9,94.0,4.7296,127.501,2023,9
0,6.0,151.0,1.1251,127.479,2023,9
0,6.0,13.0,0.0054,119.771,2023,9
0,5.6,512.824,-6.8155,116.552,2023,9
0,5.4,47.151,-9.5312,123.86,2023,8
0,5.7,481.974,-7.0459,117.215,2023,8
0,5.5,514.072,-6.8134,116.618,2023,8
1,7.1,500.0,-6.7768,116.568,2023,8
0,5.3,28.833,4.2633,126.513,2023,8
0,5.5,15.711,31.6412,131.796,2024,9
0,5.7,28.953,29.7999,130.855,2024,9
0,5.4,11.732,24.3858,121.917,2024,8
1,6.5,402.166,47.1777,144.763,2024,8
0,5.3,18.196,31.8881,131.341,2024,8
0,7.1,24.0,31.7491,131.482,2024,8
0,5.6,91.0,33.536,140.175,2024,7
0,5.4,34.723,33.4887,141.284,2024,6
0,5.7,9.0,37.4574,137.239,2024,6
0,5.5,392.698,32.2768,137.61,2024,5
0,5.4,59.788,26.1835,141.391,2024,5
0,5.8,11.296,24.191,121.899,2024,5
0,5.3,10.0,28.7699,142.53,2024,4
0,6.3,32.0,33.1621,132.387,2024,4
0,5.9,7.556,29.4708,131.736,2024,4
