magnitude,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,is_ocean,is_steep_slope
6.8,0,1.074,23.0,44.0,-5.2005,151.777,2015,5,1,False,True
6.7,0,1.239,12.0,31.0,-5.375,151.771,2015,4,1,False,True
6.7,0,0.727,13.0,22.91,27.7711,86.0173,2015,4,0,False,False
6.6,0,1.778,16.0,10.0,28.2244,84.8216,2015,4,0,False,True
7.8,0,1.857,12.0,8.22,28.2305,84.7314,2015,4,0,False,True
6.5,0,3.702,42.0,10.0,-15.8815,-178.6,2015,4,1,True,True
6.5,0,4.629,36.0,11.0,-15.4994,-173.029,2015,3,1,True,True
7.5,0,0.666,19.0,41.0,-4.7294,152.562,2015,3,1,True,True
7.0,0,1.362,12.0,552.06,-7.2968,122.535,2015,2,0,True,False
6.7,0,1.925,20.0,23.0,39.8558,142.881,2015,2,1,True,False
6.7,0,2.11,16.0,223.0,-23.1125,-66.688,2015,2,1,False,False
6.8,0,2.019,13.0,219.96,-17.0309,168.52,2015,1,1,True,False
6.5,0,4.318,61.0,8.0,5.9045,-82.6576,2015,1,1,True,False
6.6,0,2.485,43.0,20.0,7.9401,-82.6865,2014,12,1,True,False
6.6,0,3.246,12.0,23.0,-6.5108,154.46,2014,12,1,True,True
6.6,0,2.6,9.0,614.0,6.1572,123.126,2014,12,0,True,False
6.8,0,1.421,19.0,39.0,1.9604,126.575,2014,11,1,True,False
6.5,0,1.549,9.0,35.0,2.2999,127.056,2014,11,1,True,False
6.7,0,1.079,25.0,22.0,-37.6478,179.662,2014,11,1,True,True
7.1,0,1.397,18.0,45.0,1.8929,126.522,2014,11,1,True,False
6.6,0,3.557,13.0,53.19,-5.9873,148.232,2014,11,1,True,True
7.1,0,4.415,13.0,434.0,-19.6903,-177.759,2014,11,1,True,False
7.3,0,1.078,18.0,40.0,12.5262,-88.1225,2014,10,1,True,False
6.7,0,0.46,11.0,130.0,13.7641,144.429,2014,9,1,True,True
6.8,0,4.107,18.0,101.0,-14.598,-73.5714,2014,8,1,False,False
6.9,0,6.393,12.0,13.0,0.8295,146.169,2014,8,1,True,False
6.9,0,3.934,15.0,615.42,-19.8015,-178.4,2014,7,1,True,False
6.5,0,2.421,9.0,20.0,37.0052,142.452,2014,7,1,True,True
6.9,0,0.263,51.0,53.0,14.724,-92.4614,2014,7,1,True,False
6.5,0,2.124,15.0,20.0,-6.2304,152.807,2014,7,1,True,False
