magnitude,dmin,gap,depth,latitude,longitude,tsunami,is_ocean,is_steep_slope
6.5,4.318,61.0,8.0,5.9045,-82.6576,1,1,0
6.6,2.485,43.0,20.0,7.9401,-82.6865,1,1,0
6.6,3.246,12.0,23.0,-6.5108,154.46,1,1,1
6.6,2.6,9.0,614.0,6.1572,123.126,0,1,0
6.8,1.421,19.0,39.0,1.9604,126.575,1,1,0
6.5,1.549,9.0,35.0,2.2999,127.056,1,1,0
6.7,1.079,25.0,22.0,-37.6478,179.662,1,1,1
7.1,1.397,18.0,45.0,1.8929,126.522,1,1,0
6.6,3.557,13.0,53.19,-5.9873,148.232,1,1,1
7.1,4.415,13.0,434.0,-19.6903,-177.759,1,1,0
7.3,1.078,18.0,40.0,12.5262,-88.1225,1,1,0
6.7,0.46,11.0,130.0,13.7641,144.429,1,1,1
6.8,4.107,18.0,101.0,-14.598,-73.5714,1,0,0
6.9,6.393,12.0,13.0,0.8295,146.169,1,1,0
6.9,3.934,15.0,615.42,-19.8015,-178.4,1,1,0
6.5,2.421,9.0,20.0,37.0052,142.452,1,1,1
6.9,0.263,51.0,53.0,14.724,-92.4614,1,1,0
6.5,2.124,15.0,20.0,-6.2304,152.807,1,1,0
6.7,6.713,45.0,18.0,-14.9831,-175.51,1,1,0
6.9,4.838,25.0,8.0,-55.4703,-28.3669,1,1,1
7.9,0.133,22.0,109.0,51.8486,178.735,1,1,0
6.7,0.748,43.0,26.59,-29.9414,-177.607,0,1,1
6.5,0.778,30.0,10.0,-29.9379,-177.516,0,1,1
6.9,0.751,35.0,20.0,-29.9772,-177.725,1,1,1
6.9,0.402,25.0,6.43,40.2893,25.3889,0,1,0
6.5,3.121,33.0,10.0,7.2096,-82.3045,1,1,1
6.6,3.34,10.0,106.0,-21.4542,170.355,1,1,0
6.5,0.0,0.0,10.0,49.6388,-127.732,1,1,0
7.5,3.82,16.0,43.37,-6.7547,155.024,1,1,1
6.6,3.803,11.0,29.0,-6.6558,155.087,1,1,1
7.2,2.25,46.0,24.0,17.397,-100.972,1,0,1
6.6,2.666,22.0,10.0,-11.1284,162.052,0,1,1
7.4,2.885,17.0,39.0,-11.4633,162.051,1,1,1
7.6,2.828,13.0,22.56,-11.2701,162.148,1,1,1
6.6,0.761,20.0,135.0,11.642,-85.8779,1,0,0
6.5,3.787,16.0,20.0,-6.7878,154.95,1,1,1
7.1,3.729,21.0,60.53,-6.5858,155.048,1,1,1
7.7,1.029,44.0,22.4,-20.5709,-70.4931,1,1,1
6.5,0.828,82.0,24.07,-20.3113,-70.5756,0,1,1
6.9,0.828,119.0,28.42,-19.8927,-70.9455,0,1,1
8.2,0.609,23.0,25.0,-19.6097,-70.7691,1,1,1
6.7,1.008,44.0,20.0,-19.9807,-70.7022,1,1,1
6.8,0.6568,229.0,16.441,40.8287,-125.134,1,1,1
6.5,1.001,17.0,119.0,27.4312,127.367,1,1,0
6.5,1.635,30.0,14.83,14.6682,-58.9272,1,1,0
6.9,7.496,18.0,10.0,35.9053,82.5864,0,0,0
6.5,0.409,20.0,122.0,-15.0691,167.372,1,1,0
6.5,3.651,22.0,44.26,-32.9076,-177.881,1,1,1
6.5,3.997,14.0,187.0,-13.8633,167.249,1,1,0
6.5,5.194,22.0,371.0,-17.1171,-176.545,0,1,0
7.7,8.05,23.0,10.0,-60.2738,-46.4011,1,1,1
6.9,8.284,17.0,9.97,-60.2627,-47.0621,1,1,1
6.6,0.636,31.0,27.0,-30.2921,-71.5215,1,0,1
7.1,3.968,10.0,35.0,37.1557,144.661,1,1,1
6.6,1.98,44.0,9.45,26.0913,-110.321,1,1,0
6.8,5.79,9.0,35.0,-6.4456,154.931,1,1,1
7.1,3.144,12.0,19.04,9.8796,124.117,1,0,1
6.6,1.984,40.0,40.0,35.5142,23.2523,0,1,1
6.7,2.958,11.0,573.0,53.1995,152.786,0,1,0
6.5,1.709,21.0,41.54,-30.9255,-178.323,1,1,1
6.8,7.359,17.0,12.0,27.1825,65.5052,0,0,0
7.1,4.446,17.0,40.0,-15.8385,-74.5112,1,1,1
7.7,7.241,17.0,15.0,26.951,65.5009,0,0,0
6.5,0.735,24.0,20.0,51.5573,-174.767,1,1,1
6.5,3.276,26.0,402.0,29.9377,138.833,0,1,0
6.5,3.097,11.0,112.0,-7.44,128.221,0,1,0
7.0,0.624,53.0,29.0,51.537,-175.23,0,1,1
6.5,0.0,0.0,8.2,-41.734,174.152,1,0,0
6.7,3.741,22.0,12.0,5.7732,-78.1999,1,1,0
6.5,0.0,20.0,17.0,-41.704,174.337,1,1,0
7.3,0.0,43.0,11.0,-60.857,-25.07,1,1,0
6.6,0.0,14.0,56.0,-6.029,149.706,0,0,1
7.3,0.0,24.0,385.5,-3.917,153.927,1,1,0
6.6,0.0,16.0,10.0,10.701,-42.594,1,1,0
6.5,0.0,27.0,30.0,11.763,-86.926,1,1,0
6.7,0.0,24.0,9.0,-10.004,107.236,0,1,0
6.7,0.0,25.2,624.0,52.235,151.444,1,1,0
8.3,0.0,10.0,598.1,54.892,153.221,1,1,0
7.4,0.0,16.0,173.7,-23.009,-177.232,1,1,0
6.8,0.0,18.0,602.2,18.728,145.288,0,1,0
6.5,0.0,16.6,10.0,-3.898,152.127,1,1,0
6.6,0.0,12.6,14.0,30.308,102.888,0,0,1
7.2,0.0,10.1,110.0,46.221,150.788,1,1,1
6.6,0.0,11.0,13.0,-3.214,142.542,1,1,1
7.7,0.0,26.6,80.0,28.033,61.996,0,0,0
6.6,0.0,11.5,31.0,-6.475,154.607,1,1,1
7.0,0.0,11.4,66.0,-3.517,138.476,1,0,1
6.5,0.0,14.2,28.0,-6.598,148.174,1,1,1
6.5,0.0,20.7,29.0,50.958,157.408,0,1,0
6.9,0.0,20.7,41.0,50.954,157.283,1,1,0
6.6,0.0,15.3,11.0,67.631,142.508,1,0,0
6.6,0.0,16.6,18.0,-10.994,165.741,1,1,1
6.9,0.0,23.7,145.0,1.135,-77.393,1,0,0
7.1,0.0,16.5,21.0,-10.928,166.018,1,1,1
6.8,0.0,17.5,12.0,-10.838,165.969,1,1,1
6.7,0.0,26.5,11.0,-10.997,165.655,1,1,1
7.0,0.0,17.5,8.8,-10.499,165.588,0,1,0
7.1,0.0,18.4,10.0,-11.183,164.882,0,1,0
8.0,0.0,20.9,24.0,-10.799,165.114,1,1,1
6.9,0.0,28.0,107.0,42.77,143.092,0,0,0
6.8,0.0,19.3,45.0,-28.094,-70.653,0,0,1
7.5,0.0,0.0,8.7,55.228,-134.859,0,1,0
6.7,0.0,13.7,200.7,-14.344,167.286,0,1,0
7.1,0.0,8.7,155.0,-6.533,129.825,0,1,1
7.3,0.0,14.8,31.0,37.89,143.949,0,1,1
6.5,0.0,57.3,20.0,14.129,-92.164,0,1,1
6.8,0.0,13.7,13.7,23.005,95.885,0,0,0
7.4,0.0,25.5,24.0,13.988,-91.895,0,1,1
7.8,0.0,42.7,14.0,52.788,-132.101,0,0,1
6.5,0.0,34.4,17.0,10.086,-85.298,0,0,0
6.6,0.0,17.7,13.0,-4.892,134.03,0,1,1
7.3,0.0,15.5,170.0,1.929,-76.362,0,0,0
7.6,0.0,34.3,35.0,10.085,-85.315,0,0,0
7.6,0.0,10.2,28.0,10.811,126.638,0,1,1
7.3,0.0,37.0,28.0,12.139,-88.59,0,1,1
